date,RCOM0002
2017-01-01,2848347036
2017-02-01,2730738369
2017-03-01,3287148739
2017-04-01,3014387105
2017-05-01,3373784288
2017-06-01,4286713616
2017-07-01,3155288704
2017-08-01,3276728789
2017-09-01,3133876946
2017-10-01,3423431162
2017-11-01,3472016594
2017-12-01,5358347542
2018-01-01,3054610060
2018-02-01,2939625556
2018-03-01,3353142336
2018-04-01,3304998204
2018-05-01,3580232102
2018-06-01,4458795110
2018-07-01,3352067109
2018-08-01,3478614637
2018-09-01,3305635567
2018-10-01,3566343757
2018-11-01,3630451438
2018-12-01,5534773219
2019-01-01,3224319335
2019-02-01,3231711983
2019-03-01,3369988192
2019-04-01,3576525516
2019-05-01,3687492919
2019-06-01,5145701917
2019-07-01,3624564460
2019-08-01,3576309921
2019-09-01,3524450040
2019-10-01,3678997748
2019-11-01,3882658776
2019-12-01,6163410475
2020-01-01,3643450087
2020-02-01,3440251084
2020-03-01,3221222621
2020-04-01,2944580929
2020-05-01,3111523499
2020-06-01,4329886093
2020-07-01,3316042094
2020-08-01,3189057670
2020-09-01,3421552666
2020-10-01,4067387697
2020-11-01,3580452467
2020-12-01,5837417561
2021-01-01,3210619591
2021-02-01,3382270240
2021-03-01,3840522130
2021-04-01,3801057955
2021-05-01,4003147179
2021-06-01,5256096473
2021-07-01,3942071239
2021-08-01,3973874313
2021-09-01,4209451009
2021-10-01,4254562266
2021-11-01,4370178430
2021-12-01,6766246515
2022-01-01,4011447409
2022-02-01,4016897491
2022-03-01,4426092004
2022-04-01,4353039679
2022-05-01,4593008348
2022-06-01,6146081407
2022-07-01,4517363403
2022-08-01,4553510930
2022-09-01,4545289323
2022-10-01,4617251000
2022-11-01,4845619614
2022-12-01,7878893180
2023-01-01,4139240302
2023-02-01,4209560195
2023-03-01,4730323883
2023-04-01,4275327247
2023-05-01,4759154830
2023-06-01,7071761159
2023-07-01,4555405722
2023-08-01,4754861419
2023-09-01,4553839332
2023-10-01,4710542838
2023-11-01,4959358001
2023-12-01,8831158280
2024-01-01,4383718634
2024-02-01,4441797464
2024-03-01,4724584725
2024-04-01,34145283
2024-05-01,5200536260
2024-06-01,7343274230
2024-07-01,5082757389
2024-08-01,5082875723
2024-09-01,4900904677
2024-10-01,5532155466
2024-11-01,5590955356


 Definition: Compras y adquisiciones declaradas por el propio contribuyente con tarifa cero. Source: SRI
