date,PIPP0000
1998-01-01,11.10699232092427
1999-01-01,15.73905124298606
2000-01-01,37.40434774164191
2001-01-01,55.77561796145252
2002-01-01,59.59908699497694
2003-01-01,63.19536316032944
2004-01-01,61.89202008909489
2005-01-01,65.46736905237084
2006-01-01,68.51991225774889
2007-01-01,70.68104499539906
2008-01-01,77.51270051851179
2009-01-01,83.32925795982638
2010-01-01,84.65029576499091
2011-01-01,91.66502696231926
2012-01-01,95.30342860724488
2013-01-01,95.67929685745015
2014-01-01,97.781150550791
2015-01-01,101.52443687039192
2016-01-01,103.3961458433624
2017-01-01,103.038070995293
2018-01-01,104.32374957200769
2019-01-01,103.38114974672888
2020-01-01,104.22562274552968
2021-01-01,102.93419998465868
2022-01-01,107.06250446933524
2023-01-01,111.07006373594044
2024-01-01,110.95882653444669
2025-01-01,122.1485782045936
1998-02-01,11.379634120192662
1999-02-01,16.369675328509505
2000-02-01,41.89573498901503
2001-02-01,56.52105305792836
2002-02-01,59.72459935304066
2003-02-01,62.63651426248365
2004-02-01,63.91524420593471
2005-02-01,68.921512856919
2006-02-01,69.66015943513709
2007-02-01,72.08153117408554
2008-02-01,78.86750577605395
2009-02-01,82.73248694320587
2010-02-01,87.02913149029368
2011-02-01,93.00235634490863
2012-02-01,94.85163723786056
2013-02-01,96.30827274979978
2014-02-01,99.20354470782014
2015-02-01,102.59490579015538
2016-02-01,101.35392955452376
2017-02-01,102.386053690455
2018-02-01,103.70118085805248
2019-02-01,102.74192033753052
2020-02-01,104.8027232507635
2021-02-01,102.73621579086128
2022-02-01,108.8659118328976
2023-02-01,111.53325120863438
2024-02-01,113.10284954011104
1998-03-01,11.68148775790351
1999-03-01,20.196120256786905
2000-03-01,43.15997540013118
2001-03-01,57.25126568750396
2002-03-01,60.54237590399813
2003-03-01,62.98551207373151
2004-03-01,65.59276712482516
2005-03-01,69.18327044157125
2006-03-01,69.07541041674617
2007-03-01,73.86741171198133
2008-03-01,81.90407253211986
2009-03-01,83.68737951516682
2010-03-01,88.02867032490897
2011-03-01,92.26143363526464
2012-03-01,95.73912247116506
2013-03-01,96.8168244932623
2014-03-01,98.97544475557515
2015-03-01,103.27702653856456
2016-03-01,104.07261758982789
2017-03-01,101.279788928486
2018-03-01,103.9151291907106
2019-03-01,102.96665987575524
2020-03-01,104.61636187923403
2021-03-01,102.89651232564486
2022-03-01,107.84628065319212
2023-03-01,111.40148499000604
2024-03-01,114.43110332922018
1998-04-01,12.463957109350234
1999-04-01,21.62108432996037
2000-04-01,44.0269191299153
2001-04-01,56.38220724416568
2002-04-01,59.77826054009267
2003-04-01,62.11910520338421
2004-04-01,65.24363619183116
2005-04-01,64.84685873544801
2006-04-01,67.10392766598021
2007-04-01,73.76888537770928
2008-04-01,81.99280907161882
2009-04-01,83.3992557972226
2010-04-01,88.08415502228345
2011-04-01,92.10348072892498
2012-04-01,96.09703647069558
2013-04-01,97.40316535639504
2014-04-01,99.98366733009247
2015-04-01,102.3938866680774
2016-04-01,102.77938163698256
2017-04-01,101.406380995087
2018-04-01,104.06417786615576
2019-04-01,103.064765640885
2020-04-01,101.68969565093133
2021-04-01,101.68232182970644
2022-04-01,108.84723199500664
2023-04-01,110.529245559507
2024-04-01,116.3468854528572
1998-05-01,12.671745488760576
1999-05-01,20.20780740798805
2000-05-01,44.4581155059986
2001-05-01,56.4935734727601
2002-05-01,59.868674089661546
2003-05-01,60.7121763318361
2004-05-01,64.58511706065877
2005-05-01,65.54663827103158
2006-05-01,69.57574866638808
2007-05-01,72.59462348366972
2008-05-01,83.23124555417132
2009-05-01,82.66185854472174
2010-05-01,86.75773118308622
2011-05-01,92.0861263175726
2012-05-01,97.52913629770975
2013-05-01,96.28727220645315
2014-05-01,99.5921013284365
2015-05-01,101.68778503503115
2016-05-01,102.717914724285
2017-05-01,100.827447386032
2018-05-01,103.30445921971666
2019-05-01,103.86949660419236
2020-05-01,100.46507000892328
2021-05-01,101.1928246607045
2022-05-01,109.118818258376
2023-05-01,111.285788856381
2024-05-01,115.71592934440469
1998-06-01,13.076621490757333
1999-06-01,20.505399707037544
2000-06-01,51.46815490175637
2001-06-01,57.00044319435841
2002-06-01,59.83971147899881
2003-06-01,60.287900007800616
2004-06-01,64.18174693775967
2005-06-01,65.35432485163204
2006-06-01,69.3218934293363
2007-06-01,74.19374165492441
2008-06-01,84.06599022029448
2009-06-01,83.23591885665101
2010-06-01,87.67033265564841
2011-06-01,92.30446119054136
2012-06-01,95.14849213813066
2013-06-01,97.12074505767924
2014-06-01,99.7198859893
2015-06-01,103.4114484930813
2016-06-01,101.857931836416
2017-06-01,100.823907288768
2018-06-01,103.24295129339728
2019-06-01,103.2330242733706
2020-06-01,100.13306159656275
2021-06-01,101.35893404558988
2022-06-01,110.017854370435
2023-06-01,110.581636892833
2024-06-01,115.6213777005631
1998-07-01,13.362974391803238
1999-07-01,22.30953400427249
2000-07-01,51.627743131526
2001-07-01,56.58166946764268
2002-07-01,59.19513959137024
2003-07-01,60.91450328886046
2004-07-01,63.42886748681544
2005-07-01,67.68418506343777
2006-07-01,69.35372447205634
2007-07-01,74.87173505964101
2008-07-01,87.04863876792759
2009-07-01,83.40104118566056
2010-07-01,88.31286232398475
2011-07-01,92.98845268139624
2012-07-01,95.68958346597374
2013-07-01,96.77011880047256
2014-07-01,100.62412565810088
2015-07-01,102.87003673845751
2016-07-01,101.977829862573
2017-07-01,100.637092733611
2018-07-01,102.37642097324428
2019-07-01,101.13876409517766
2020-07-01,99.81717182867162
2021-07-01,102.0965152510433
