date,RREC2105
2000-01-01,488.8129011599758
2000-02-01,369.74345508
2000-03-01,162.15693856
2000-04-01,716.83421
2000-05-01,690.30869
2000-06-01,857.67433
2000-07-01,616.2708399999999
2000-08-01,890.28327
2000-09-01,942.01801
2000-10-01,1122.32354
2000-11-01,997.27737
2000-12-01,1225.0158700000002
2001-01-01,5224.22983
2001-02-01,4099.42577
2001-03-01,3703.01575
2001-04-01,4467.4533200000005
2001-05-01,3776.57603
2001-06-01,4082.08121
2001-07-01,5006.3937000000005
2001-08-01,4637.8026500000005
2001-09-01,4518.48597
2001-10-01,4524.85247
2001-11-01,4697.90727
2001-12-01,4514.03484
2002-01-01,5224.22983
2002-02-01,4099.42577
2002-03-01,3703.01575
2002-04-01,4467.4533200000005
2002-05-01,3776.57603
2002-06-01,4082.08121
2002-07-01,5006.3937000000005
2002-08-01,4637.8026500000005
2002-09-01,4518.48597
2002-10-01,4524.85247
2002-11-01,4697.90727
2002-12-01,4514.03484
2003-01-01,5224.22983
2003-02-01,4099.42577
2003-03-01,3703.01575
2003-04-01,4467.4533200000005
2003-05-01,3776.57603
2003-06-01,4082.08121
2003-07-01,5006.3937000000005
2003-08-01,4637.8026500000005
2003-09-01,4518.48597
2003-10-01,4524.85247
2003-11-01,4697.90727
2003-12-01,4514.03484
2004-01-01,5224.22983
2004-02-01,4099.42577
2004-03-01,3703.01575
2004-04-01,4467.4533200000005
2004-05-01,3776.57603
2004-06-01,4082.08121
2004-07-01,5006.3937000000005
2004-08-01,4637.8026500000005
2004-09-01,4518.48597
2004-10-01,4524.85247
2004-11-01,4697.90727
2004-12-01,4514.03484
2005-01-01,5224.22983
2005-02-01,4099.42577
2005-03-01,3703.01575
2005-04-01,4467.4533200000005
2005-05-01,3776.57603
2005-06-01,4082.08121
2005-07-01,5006.3937000000005
2005-08-01,4637.8026500000005
2005-09-01,4518.48597
2005-10-01,4524.85247
2005-11-01,4697.90727
2005-12-01,4514.03484
2006-01-01,5224.22983
2006-02-01,4099.42577
2006-03-01,3703.01575
2006-04-01,4467.4533200000005
2006-05-01,3776.57603
2006-06-01,4082.08121
2006-07-01,5006.3937000000005
2006-08-01,4637.8026500000005
2006-09-01,4518.48597
2006-10-01,4524.85247
2006-11-01,4697.90727
2006-12-01,4514.03484
2007-01-01,5224.22983
2007-02-01,4099.42577
2007-03-01,3703.01575
2007-04-01,4467.4533200000005
2007-05-01,3776.57603
2007-06-01,4082.08121
2007-07-01,5006.3937000000005
2007-08-01,4637.8026500000005
2007-09-01,4518.48597
2007-10-01,4524.85247
