date,TIMP0040
2022-01-01,511268.336282
2022-02-01,425780.586608
2022-03-01,494078.206611
2022-04-01,472850.011192
2022-05-01,480084.655971
2022-06-01,440018.471938
2022-07-01,471030.971592
2022-08-01,535250.500643
2022-09-01,510403.328202
2022-10-01,493443.977842
2022-11-01,506421.154967
2022-12-01,497685.690527
2023-01-01,505578.821902
2023-02-01,454300.696728
2023-03-01,477211.913999
2023-04-01,468692.779583
2023-05-01,543033.073365
2023-06-01,529414.700983
2023-07-01,497861.983145
2023-08-01,569657.902607
2023-09-01,496062.033458
2023-10-01,519003.124417
2023-11-01,478966.665665
2023-12-01,514948.380111
2024-01-01,486899.9288
2024-02-01,413568.50749
2024-03-01,438640.012694
2024-04-01,471592.486515
2024-05-01,482452.169554
2024-06-01,466678.600629
2024-07-01,474878.473612
2024-08-01,540034.704444
2024-09-01,412374.590372
2024-10-01,514776.640735
2024-11-01,628481.575321
2024-12-01,521096.10306


 Definition: Importaciones de bienes de capital, Total. Source: BCE
