date,TACC0000
2016-03-31,-92.4898888590842
2016-06-30,802.1056358397011
2016-09-30,54.45517231637723
2016-12-31,136.34329138172018
2017-03-31,347.1918376603352
2017-06-30,37.93400782749745
2017-09-30,-499.4501343636557
2017-12-31,-291.4520653431142
2018-03-31,-93.08713062297436
2018-06-30,-191.8150216981545
2018-09-30,-405.86317914689937
2018-12-31,-957.8960953901626
2019-03-31,-347.45408464157015
2019-06-30,-111.4111307947885
2019-09-30,-135.16550030020187
2019-12-31,48.15462278358757
2020-03-31,305.249285440544
2020-06-30,235.499994505386
2020-09-30,592.4651914160806
2020-12-31,871.74607724683
2021-03-31,806.0335398497125
2021-06-30,1287.228081314609
2021-09-30,323.4937430873971
2021-12-31,521.9224844851103
2022-03-31,797.8730475481493
2022-06-30,1165.4963271917372
2022-09-30,-12.965891484351571
2022-12-31,186.88741314121432
2023-03-31,453.8651871795324
2023-06-30,830.5353134728662
2023-09-30,627.872521832939
2023-12-31,433.6669864695372
2024-03-31,1507.997436741923
2024-06-30,2375.307990422013
2024-09-30,1473.2549062719718


 Definition: Cuenta corriente BOP. Source: BCE
