date,TUSD0013
2023-01-01,70.08003139585406
2023-02-01,74.91702938995063
2023-03-01,77.8179837360414
2023-04-01,80.22462896109106
2023-05-01,80.9009125622937
2023-06-01,88.80521464220378
2023-07-01,91.8105031215571
2023-08-01,95.9490318742684
2023-09-01,96.60155721710234
2023-10-01,93.21401938851604
2023-11-01,88.66977602014578
2023-12-01,89.46864571310984
2024-01-01,89.8537181468569
2024-02-01,91.2001021441144
2024-03-01,92.46075041145036
2024-04-01,93.44833708684156
2024-05-01,90.36525636623232
2024-06-01,85.75961579692122
2024-07-01,85.94831068595347
2024-08-01,90.46417166481214
2024-09-01,92.96185774976529
2024-10-01,97.32738987405835
2024-11-01,106.4826646221995
2024-12-01,113.14009005951168
2025-01-01,98.68745682423764


 Definition: Cotización del USD en Rusia. Source: BCE
