date,TIMP0042
2023-01-01,355137.198193
2023-02-01,315816.436704
2023-03-01,322087.434323
2023-04-01,325496.112899
2023-05-01,382798.641442
2023-06-01,358501.652253
2023-07-01,357356.952743
2023-08-01,401381.063731
2023-09-01,349836.969748
2023-10-01,365229.071456
2023-11-01,345693.324969
2023-12-01,360806.327298
2024-01-01,358571.85795
2024-02-01,295688.957866
2024-03-01,311888.634563
2024-04-01,329606.336619
2024-05-01,349259.92582
2024-06-01,338556.539677
2024-07-01,344215.177259
2024-08-01,391039.012272
2024-09-01,300485.767054
2024-10-01,381219.088299
2024-11-01,494906.646661
2024-12-01,392844.713339
2025-01-01,432614.46226
2025-02-01,379251.353137


 Definition: Importaciones de bienes de capital: Industriales. Source: BCE
