date,TIMP0013
2022-01-01,27289.80358
2022-02-01,24597.878221
2022-03-01,28794.354725
2022-04-01,27625.50622
2022-05-01,28332.538696
2022-06-01,27375.907682
2022-07-01,26896.617223
2022-08-01,30252.61156
2022-09-01,28879.022134
2022-10-01,28079.490288
2022-11-01,28903.45862
2022-12-01,34691.798193
2023-01-01,26972.809997
2023-02-01,24950.363458
2023-03-01,30080.985586
2023-04-01,27854.218417
2023-05-01,33583.853921
2023-06-01,31506.256759
2023-07-01,28829.360437
2023-08-01,33126.958804
2023-09-01,28361.107447
2023-10-01,31648.396195
2023-11-01,31700.821832
2023-12-01,40908.002877
2024-01-01,27699.312263
2024-02-01,28372.922044
2024-03-01,28917.959688
2024-04-01,32872.421674
2024-05-01,34231.768083


 Definition: Importaciones de bienes de consumo: Tráfico postal internacional y correos rápidos. Source: BCE
