date,LEMP0000
2007-12-01,316697.21225408226
2008-06-01,344143.3019425375
2008-12-01,380025.96571925
2009-12-01,423802.02399893646
2010-06-01,408318.4764796322
2010-12-01,323026.5934069552
2011-06-01,329205.0261428143
2011-12-01,276787.4264716404
2012-06-01,282570.6144443325
2012-12-01,276174.122044566
2013-06-01,273950.6388718428
2013-12-01,288745.04151147755
2014-03-01,342095.9102441498
2014-06-01,324288.8646233148
2014-09-01,278421.09947630984
2014-12-01,273413.7901388106
2015-03-01,282967.389343025
2015-06-01,332116.9946552067
2015-09-01,325496.2707589996
2015-12-01,357892.3636105888
2016-03-01,448990.4946370093
2016-06-01,416882.5051902499
2016-09-01,419173.18851784914
2016-12-01,410441.4442347263
2017-03-01,355413.7695302736
2017-06-01,366003.5453804555
2017-09-01,338577.3107859189
2017-12-01,373870.6307215427
2018-03-01,362051.2100333648
2018-06-01,330096.70503970044
2018-09-01,332818.0000007642
2018-12-01,296097.2671824798
2019-03-01,376255.0844245408
2019-06-01,366163.3040945728
2019-09-01,406870.6662525588
2019-12-01,311133.7340636216
2020-09-01,491609.0389014825
2020-10-01,477372.2424943938
2020-11-01,460345.20959744457
2020-12-01,396504.1077662366
2021-01-01,445171.6675617845
2021-02-01,447181.1898791848
2021-03-01,392630.938740804
2021-04-01,425839.7583120605
2021-05-01,537957.6604735758
2021-06-01,426874.99243955984
2021-07-01,426684.0526736298
2021-08-01,415040.8727929663
2021-09-01,412441.06112244725
2021-10-01,384203.7264356138
2021-11-01,374123.7254582325
2021-12-01,356725.0853591321
2022-01-01,458573.4825888741
2022-02-01,367653.68017264496
2022-03-01,397645.2592155402
2022-04-01,399432.3100962527
2022-05-01,314988.00586523075
2022-06-01,345620.4075821464
2022-07-01,332226.5683289973
2022-08-01,343234.71138734627
2022-09-01,354324.4383947996
2022-10-01,354509.267688933
2022-11-01,318362.8754647237
2022-12-01,266942.16427139257
2023-01-01,321597.96203376213
2023-02-01,328662.01663062
2023-03-01,302665.06242237537
2023-04-01,341848.6120116596
2023-05-01,264795.85946380306
2023-06-01,323611.9409082894
2023-07-01,312282.5765852072
2023-08-01,295659.6567307829
2023-09-01,322547.63628551824
2023-10-01,298824.94157079334
2023-11-01,293581.44140677946
2023-12-01,291419.33862019505
2024-01-01,335420.81065527187
2024-02-01,353704.5958043277
2024-03-01,320863.3406134668
2024-04-01,291596.5603532447
2024-05-01,298897.71618652693
2024-06-01,272274.8818805732
2024-07-01,323374.5576000689
2024-08-01,343994.7513179989
2024-09-01,322248.79883963027
2024-10-01,297826.1495590935
2024-11-01,322000.90605246974
2024-12-01,230390.9202945534


 Definition: Desempleo. Source: INE
