date,MPFN0013
2006-01-01,1.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,1.79
2006-06-01,1.68
2006-07-01,1.35
2006-08-01,1.06
2006-09-01,3.04
2006-10-01,45.79
2006-11-01,112.26
2006-12-01,165.16
2007-01-01,161.12
2007-02-01,178.06
2007-03-01,175.23
2007-04-01,201.29
2007-05-01,205.89
2007-06-01,202.53
2007-07-01,258.81
2007-08-01,261.21
2007-09-01,251.49
2007-10-01,251.28
2007-11-01,243.84
2007-12-01,255.34
2008-01-01,264.04
2008-02-01,252.85
2008-03-01,257.14
2008-04-01,250.8
2008-05-01,248.8
2008-06-01,261.43
2008-07-01,264.55
2008-08-01,262.38
2008-09-01,280.28
2008-10-01,296.55
2008-11-01,303.49
2008-12-01,290.42
2009-01-01,278.85
2009-02-01,273.21
2009-03-01,254.38
2009-04-01,246.61
2009-05-01,252.04
2009-06-01,239.68
2009-07-01,242.9
2009-08-01,245.35
2009-09-01,248.55
2009-10-01,252.86
2009-11-01,268.41
2009-12-01,303.32
2010-01-01,306.33
2010-02-01,310.07
2010-03-01,296.46
2010-04-01,301.95
2010-05-01,297.96
2010-06-01,310.69
2010-07-01,347.68
2010-08-01,356.3
2010-09-01,383.16
2010-10-01,385.53
2010-11-01,394.78
2010-12-01,403.58
2011-01-01,411.31
2011-02-01,424.39
2011-03-01,407.75
2011-04-01,422.47
2011-05-01,422.87
2011-06-01,427.28
2011-07-01,434.45
2011-08-01,449.99
2011-09-01,485.8
2011-10-01,510.19
2011-11-01,544.36
2011-12-01,528.32
2012-01-01,513.46
2012-02-01,512.28
2012-03-01,522.63
2012-04-01,523.3
2012-05-01,542.64
2012-06-01,574.28
2012-07-01,592.37
2012-08-01,592.62
2012-09-01,621.32
2012-10-01,647.31
2012-11-01,649.51
2012-12-01,638.45
2013-01-01,616.74
2013-02-01,626.29
2013-03-01,636.06
2013-04-01,628.31
2013-05-01,646.96
2013-06-01,639.32
2013-07-01,661.67
2013-08-01,691.19
2013-09-01,697.04
2013-10-01,703.35
2013-11-01,723.35
2013-12-01,734.41
2014-01-01,730.28
2014-02-01,749.97
2014-03-01,750.05
2014-04-01,754.89
2014-05-01,753.7
2014-06-01,762.22
2014-07-01,757.66
2014-08-01,762.98
2014-09-01,778.98
2014-10-01,799.19
2014-11-01,808.99
2014-12-01,817.06
2015-01-01,956.23
2015-02-01,1145.95
2015-03-01,1174.07
2015-04-01,1165.36
2015-05-01,1197.87
2015-06-01,1222.36
2015-07-01,1219.36
2015-08-01,1244.69
2015-09-01,1258.21
2015-10-01,1296.5
2015-11-01,1287.31
2015-12-01,1256.88
2016-01-01,1233.47
2016-02-01,1237.2
2016-03-01,1239.08
2016-04-01,1254.96
2016-05-01,1254.43
2016-06-01,1295.53
2016-07-01,1297.11
2016-08-01,1297.29
2016-09-01,1307.52
2016-10-01,1323.19
2016-11-01,1304.28
2016-12-01,1344.47
2017-01-01,1327.69
2017-02-01,1292.97
2017-03-01,1309.5
2017-04-01,1338.62
2017-05-01,1351.69
2017-06-01,1333.33
2017-07-01,1351.25
2017-08-01,1364.15
2017-09-01,1384.05
2017-10-01,1435.0
2017-11-01,1483.35
2017-12-01,1491.25
2018-01-01,1462.12
2018-02-01,1460.99
2018-03-01,1466.7
2018-04-01,1480.32
2018-05-01,1482.18
2018-06-01,1501.47
2018-07-01,1497.98
2018-08-01,1515.77
2018-09-01,1509.94
2018-10-01,1503.15
2018-11-01,1516.81
2018-12-01,1603.13
2019-01-01,1569.64
2019-02-01,1600.15
2019-03-01,1616.01
2019-04-01,1617.09
2019-05-01,1636.35
2019-06-01,1625.41
2019-07-01,1691.06
2019-08-01,1677.75
2019-09-01,1672.72
2019-10-01,1706.14
2019-11-01,1717.6
2019-12-01,1748.02
2020-01-01,1725.52
2020-02-01,1582.21
2020-03-01,1589.75
2020-04-01,1552.0
2020-05-01,1544.07
2020-06-01,1526.18
2020-07-01,1516.55
2020-08-01,1517.96
2020-09-01,1485.72
2020-10-01,1544.27
2020-11-01,1557.71
2020-12-01,1602.27
2021-01-01,1574.2
2021-02-01,1556.47
2021-03-01,1583.75
2021-04-01,1581.83
2021-05-01,1581.111385
2021-06-01,1606.583392
2021-07-01,1599.350133
2021-08-01,1605.469512
2021-09-01,1591.851391
2021-10-01,1596.712148
2021-11-01,1600.260916
2021-12-01,1616.447695
2022-01-01,1581.129529
2022-02-01,1639.835206
2022-03-01,1669.497377
2022-04-01,1643.325105
2022-05-01,1685.889122
2022-06-01,1714.941435
2022-07-01,1716.387025
2022-08-01,1758.109372
2022-09-01,1741.651165
2022-10-01,1831.261355
2022-11-01,1836.635464
2022-12-01,1836.329933
2023-01-01,1727.102108
2023-02-01,1851.100113
2023-03-01,1872.294844
2023-04-01,1914.506951
2023-05-01,1880.214166
2023-06-01,1900.565475
2023-07-01,1893.512463
2023-08-01,1920.98539899999
2023-09-01,1974.520244
2023-10-01,1998.619398
2023-11-01,2033.869518
2023-12-01,2046.434832
2024-01-01,2018.111593
2024-02-01,2048.033241
2024-03-01,2077.794527
2024-04-01,2120.28879
2024-05-01,2200.892077
2024-06-01,2235.387858
2024-07-01,2217.671662
2024-08-01,2151.561914
2024-09-01,2182.150643
2024-10-01,


 Definition: Panorama financiero de cuasi-dinero: Restringido. Source: BCE
