date,TIMP0110
2023-01-01,591.05124829
2023-02-01,545.823609436
2023-03-01,586.933561832
2023-04-01,559.791026784
2023-05-01,425.963497342
2023-06-01,350.441190788
2023-07-01,539.76167613
2023-08-01,659.981535236
2023-09-01,715.855087532
2023-10-01,609.582141741
2023-11-01,678.676333512
2023-12-01,497.509220887
2024-01-01,471.570827459
2024-02-01,449.269090789
2024-03-01,507.525411935
2024-04-01,626.040362516
2024-05-01,603.239289174
2024-06-01,555.626837354
2024-07-01,511.715748822
2024-08-01,611.180296409
2024-09-01,530.914076178
2024-10-01,539.842072095
2024-11-01,563.605029606
2024-12-01,641.109959106
2025-01-01,641.741401212
2025-02-01,560.97182943


 Definition: importaciones FOB, Petroleras. Source: BCE
