date,RIND0101
2022-01-01,38.89637
2022-02-01,39.408981
2022-03-01,39.843246
2022-04-01,39.029633
2022-05-01,38.403549
2022-06-01,37.02813
2022-07-01,38.303001
2022-08-01,37.875431
2022-09-01,38.626404
2022-10-01,38.18298
2022-11-01,38.353237
2022-12-01,37.817032
2023-01-01,37.310909
2023-02-01,36.529793
2023-03-01,35.986065
2023-04-01,36.364044
2023-05-01,34.895809
2023-06-01,36.218872
2023-07-01,36.220306
2023-08-01,35.241478
2023-09-01,37.29562
2023-10-01,37.181213
2023-11-01,37.62836456298828
2023-12-01,39.36161422729492
2025-01-01,38.29827880859375
2025-02-01,39.64769744873047
2025-03-01,37.912723541259766
2025-04-01,39.550270080566406
2025-05-01,39.868194580078125
2025-06-01,38.374549865722656
2025-07-01,38.44425201416016
2025-08-01,39.30624008178711
2025-09-01,39.21971893310547
2025-10-01,40.626461029052734


 Definition: Indice de Expectativas, Total nacional. Source: BCE
