date,GRES0101
2013-01-01,408.6184548666713
2013-02-01,-663.6208782263681
2013-03-01,-472.7876555265306
2013-04-01,37.23466615630946
2013-05-01,-270.0810450951386
2013-06-01,-449.1200399589467
2013-07-01,-449.9821043074327
2013-08-01,-780.5798976484169
2013-09-01,-516.891197354057
2013-10-01,-859.640841617358
2013-11-01,-1165.791060343281
2013-12-01,-2719.6294332908583
2014-01-01,444.75699429970905
2014-02-01,-603.7441763812529
2014-03-01,-516.5773894189283
2014-04-01,58.36040654744306
2014-05-01,-234.24448785897252
2014-06-01,-363.0329709693249
2014-07-01,-441.5059999106435
2014-08-01,-720.4959039291314
2014-09-01,-518.1123192503518
2014-10-01,-727.2505624612979
2014-11-01,-773.5630512140631
2014-12-01,-2537.1273951943376
2015-01-01,863.2052625855064
2015-02-01,52.25380437104252
2015-03-01,-380.4833632420221
2015-04-01,640.8982936163184
2015-05-01,-429.8164254163908
2015-06-01,-262.0722426092294
2015-07-01,456.99091054022
2015-08-01,-537.7644325995286
2015-09-01,-119.4217457171962
2015-10-01,-636.9210597665032
2015-11-01,-456.3402612227694
2015-12-01,-2548.8546289879696
2016-01-01,510.77707617658376
2016-02-01,-489.26307540300087
2016-03-01,-576.2534686850963
2016-04-01,185.14283116139904
2016-05-01,-422.3521420520688
2016-06-01,-441.6382377801064
2016-07-01,-296.2000621982328
2016-08-01,-696.7498348200368
2016-09-01,-683.2280171783392
2016-10-01,-562.8014274014989
2016-11-01,-1126.4857164518294
2016-12-01,-2748.338495884785
2017-01-01,590.7466582069158
2017-02-01,-533.8968813075181
2017-03-01,-774.9800863319915
2017-04-01,158.77026655617362
2017-05-01,-236.0539552193716
2017-06-01,-407.2908260962703
2017-07-01,-24.35374599234217
2017-08-01,-622.9026525753331
2017-09-01,278.2708422166031
2017-10-01,-302.1307402640531
2017-11-01,-700.655385670295
2017-12-01,-3033.071157997232
2018-01-01,673.7942091760617
2018-02-01,-134.39011316213907
2018-03-01,-685.3894422400357
2018-04-01,262.75823632870254
2018-05-01,31.64248624847789
2018-06-01,-501.9503900911248
2018-07-01,-284.86652359806703
2018-08-01,-297.6058377903149
2018-09-01,-494.6343996583428
2018-10-01,-332.90308519067787
2018-11-01,-280.2445075581395
2018-12-01,-2181.562476706211
2019-01-01,812.0393134552204
2019-02-01,-228.3692782527679
2019-03-01,-397.255418682769
2019-04-01,380.2300226212467
2019-05-01,-223.2327967407696
2019-06-01,-226.90526070076817
2019-07-01,-278.2813853507637
2019-08-01,-441.0181943947642
2019-09-01,-133.7642204890917
2019-10-01,-36.86642722537022
2019-11-01,-949.2137271897448
2019-12-01,-1955.4528543423
2020-01-01,625.7616722796896
2020-02-01,-318.186196811077
2020-03-01,228.3706655840388
2020-04-01,40.43195865573449
2020-05-01,-493.64338612208223
2020-06-01,-417.674187357497
2020-07-01,-389.2943121965767
2020-08-01,-337.9472325809129
2020-09-01,-26.09208614486522
2020-10-01,-748.4627070571275
2020-11-01,-555.7356289827785
2020-12-01,-2387.091983628384
2021-01-01,437.8225464701292
2021-02-01,-65.13581815534883
2021-03-01,-318.00479803335224
2021-04-01,276.3357931366711
2021-05-01,-770.0672377933429
2021-06-01,-321.71289747932667
2021-07-01,-173.21028085996363
2021-08-01,-525.9989323914366
2021-09-01,-88.20988283962652
2021-10-01,-73.1762797171109
2021-11-01,-287.44748192834186
2021-12-01,-2605.7716356691185
2022-01-01,616.8595435349887
2022-02-01,-259.8253773350048
2022-03-01,218.88247830500157
2022-04-01,463.0548710309925
2022-05-01,-8.569921474992725
2022-06-01,-112.61162880001712
2022-07-01,-320.2532770349594
2022-08-01,-418.9787328850071
2022-09-01,209.62290872833023
2022-10-01,-161.15008584333054
2022-11-01,-501.8292720400091
2022-12-01,-2036.5129175116767
2023-01-01,762.3811073821582
2023-02-01,-263.51202107498943
2023-03-01,-208.206801174985
2023-04-01,758.3719932549791
2023-05-01,-174.06678576998888
2023-06-01,-277.0979243760072
2023-07-01,-325.8527800589686
2023-08-01,-684.1681319850601
2023-09-01,-391.94299914999215
2023-10-01,-466.9230024349709
2023-11-01,-753.8945864735325
2023-12-01,-1834.560733565244
2024-01-01,639.9847723263583
2024-02-01,515.5186752229658
2024-03-01,72.66737761161698
2024-04-01,647.2785257984926
2024-05-01,329.8412076455952
2024-06-01,26.92672567929594
2024-07-01,-236.58433445172864
2024-08-01,-396.1028200766091
2024-09-01,-211.963290891906
2024-10-01,-636.4749076083199


 Definition: Resultado primario no petrolero del Sector Público No Financiero. Source: MEF
