date,RVEN0002
2017-01-01,3823882351
2017-02-01,3599845964
2017-03-01,4269561231
2017-04-01,4060439128
2017-05-01,4237438920
2017-06-01,6901204332
2017-07-01,4011531365
2017-08-01,4234950885
2017-09-01,4208377034
2017-10-01,4280641131
2017-11-01,4252180798
2017-12-01,8136891284
2018-01-01,4129388745
2018-02-01,3961424893
2018-03-01,4479076370
2018-04-01,4408592499
2018-05-01,4561511253
2018-06-01,7209878074
2018-07-01,4267617259
2018-08-01,4486930974
2018-09-01,4325565563
2018-10-01,4546370365
2018-11-01,4441059090
2018-12-01,8413636928
2019-01-01,4296369230
2019-02-01,4174590727
2019-03-01,4416438611
2019-04-01,4656509905
2019-05-01,4662712295
2019-06-01,7393070947
2019-07-01,4567539932
2019-08-01,4605403340
2019-09-01,4615949395
2019-10-01,4657307412
2019-11-01,4733012969
2019-12-01,9052531263
2020-01-01,4735577957
2020-02-01,4524131514
2020-03-01,4317450218
2020-04-01,3797639571
2020-05-01,3901227298
2020-06-01,6622816478
2020-07-01,4140484533
2020-08-01,4067446605
2020-09-01,4274100470
2020-10-01,4495077185
2020-11-01,4392479454
2020-12-01,8496039183
2021-01-01,4238567640
2021-02-01,4252959587
2021-03-01,5009530084
2021-04-01,4900878742
2021-05-01,4972109411
2021-06-01,8178409267
2021-07-01,4845769462
2021-08-01,5011669030
2021-09-01,5223297594
2021-10-01,5294138864
2021-11-01,5293784848
2021-12-01,10021260149
2022-01-01,5169592935
2022-02-01,5056224159
2022-03-01,5585416582
2022-04-01,5456331821
2022-05-01,5621688672
2022-06-01,9667008481
2022-07-01,5589300644
2022-08-01,5769086543
2022-09-01,5671994945
2022-10-01,5675778428
2022-11-01,5723853318
2022-12-01,11871785139
2023-01-01,5533519259
2023-02-01,5307891098
2023-03-01,6055745411
2023-04-01,5540177362
2023-05-01,5932884611
2023-06-01,11018168838
2023-07-01,5573883763
2023-08-01,5847553059
2023-09-01,5710316111
2023-10-01,5817306695
2023-11-01,5920269330
2023-12-01,12775711618
2024-01-01,5589143371
2024-02-01,5391657007
2024-03-01,5889432988
2024-04-01,64235754
2024-05-01,6770547997
2024-06-01,10115030933
2024-07-01,6000310022
2024-08-01,6089607598
2024-09-01,6150718200
2024-10-01,6473530438
2024-11-01,6467089767


 Definition: Ventas netas registradas con tarifa 0. Source: SRI
