date,PPBR0000
2007-12-01,36.74
2008-06-01,34.97
2008-12-01,35.09
2009-12-01,36.03
2010-06-01,33.01
2010-12-01,32.76
2011-06-01,29.55
2011-12-01,28.64
2012-06-01,25.34
2012-12-01,27.31
2013-06-01,23.69
2013-12-01,25.55
2014-06-01,24.53
2014-12-01,22.49
2015-06-01,22.01
2015-12-01,23.28
2016-06-01,23.7
2016-12-01,22.92
2017-06-01,23.09
2017-12-01,21.46
2018-06-01,24.5
2018-12-01,23.22
2019-06-01,25.480000000000004
2019-12-01,25.04
2020-12-01,33.0435
2021-06-01,32.1866
2021-12-01,27.6852
2022-06-01,25.0258
2022-12-01,25.229585164439094
2023-06-01,27.0377
2023-12-01,26.0125963276856
2024-06-01,25.4628395871638


 Definition: Incidencia de pobreza por ingreso. Source: INE
